StoryID	Keyword	Comment	Timing	ParentKeyword
tos1x07	ship takeover	Charlie		ship crisis
tos1x08	space battle to the death			
tos1x08	cat and mouse game			
tos1x08	space chase			
tos1x08	playing possum			
tos1x08	captain's log		3:10-3:25, 33:45-36:05, 36:45-36:40	
tos1x08	transfer coil giving out			mechanical complication
tos1x08	playing dead in space	Enterprise		
tos1x09	escape objective			
tos1x09	defeat antagonist			
tos1x09	battle of wits	Kirk/impostor-Kirk		
tos1x09	heroic ruse	trick into insulting Spock		
tos1x09	visit a planet			
tos1x09	nefarious plot			
tos1x09	murder suicide			
tos1x09	Maltuvis device	Caesar/Khan/Hitler/Ferris/Maltuvis	31:45	
tos1x09	abduction			
tos1x09	footchase	Ruk@Kirk		
tos1x09	confound a robot with a contradiction	Kirk@Corby		
tos1x09	plot twist	Korby is an android		
tos1x09	captain's log		3:25-3:50	
tos1x09	long lost lovers scenario			
tos1x09	shirtless captain		23:05-27:45	
tos1x09	captain at gunpoint		14:15-15:15, 43:20-46:55	
tos1x09	plant a key	Mind your own business Mr. Spock		
tos1x09	cliffhanger	Kirk literally		
tos1x09	Spock in the captain's chair			man in the captain's chair
tos1x10	abduction			
tos1x10	escape objective			
tos1x10	transporter blocked by a force field			transporter complication
tos1x10	visit a planet	Tantalus V		
tos1x10	captain's log		3:50-4:00, 15:50-16:10	
tos1x10	manhunt	for Simon		
tos1x10	captain at gunpoint	Simon@Kirk	7:20-8:20	
tos1x10	flashback	Kirk and Noel at Christmas party		
tos1x10	Spock in the captain's chair			man in the captain's chair
tos1x11	visit a planet			
tos1x11	find a cure			
tos1x11	race against time	7 days		
tos1x11	Kirkologue		41:00-45:05	
tos1x11	captain's log		2:10-2:30, 15:15-15:45, 17:50-18:05, 29:50-30:00, 32:10-32:35	
tos1x11	torn shirt captain		43:30	
tos1x11	abduction	olnies@janice		
tos1x11	end joke			
tos1x12	visit a planet			
tos1x12	ship tour	Kirk@Lenora		
tos1x12	super-nanpa	Kirka@Lenora		nanpa
tos1x12	seduction	Kirk@Lenora		
tos1x12	murder attempt	Lenora@Kirk		
tos1x12	kiss	Lenora@Kirk		
tos1x12	emotional breakdown	Lenora		
tos1x12	captain's log		2:30-2:50, 15:20-15:35, 27:00-27:15, 39:10-39-20	
tos1x12	murder the eye witnesses one by one scenario			
tos1x12	medical log		38:45-39:00	
tos1x12	captain at gunpoint	Kirk@Riley	41:50-42:20	
tos1x13	dangerous gambit	Spock dumping/igniting fuel		
tos1x13	medical relief mission			
tos1x13	missing in action complication			
tos1x13	space search and rescue			
tos1x13	crash landing			
tos1x13	race against time			
tos1x13	investigate a phenomenon	Murasaki 312 quasar		
tos1x13	ion interference			transporter complication
tos1x13	surprise set back	fuel gone		
tos1x13	end joke			
tos1x13	captain's log		0:05-0:30, 5:25-5:45, 17:25-17:40, 33:20-33:40, 38:30-38:40	
tos1x14	maintenance mission			
tos1x14	court martial			
tos1x14	surprise defense			
tos1x14	Maltuvis device	Moses/Tribunal of Alpha III and Hammurabi	14:15, 33:25	
tos1x14	race against time	decaying orbit		
tos1x14	cat and mouse game			
tos1x14	torn shirt captain	Kirk	45:35	
tos1x14	pretending dead			ruse
tos1x14	frame job			
tos1x14	plot twist	Finney is alive!		
tos1x14	end joke			
tos1x14	captain's log		0:00-0:27, 3:40-3:58, 10:15-10:30, 28:15-28:28, 34:56-35:05	
tos1x14	interrogation	Commodore at Kirk	6:30-10:15	
tos1x14	captain at gunpoint	Finney at kirk	42:45-44:52	
tos1x15	space chase	Kirk's shuttlecraft@Enterprise		
tos1x15	ship hijacking			
tos1x15	abduction			
tos1x15	faked message			
tos1x15	captain's log		24:27-24:58, 26:00-26:08	
tos1x15	captain's log supplemental		36:33-36:47	
tos1x16	deus ex machina	the aliens conveniently finished reading the Enterprises log at the end		
tos1x16	recap			
tos1x16	ship hijacking			
tos1x16	abduction			
tos1x16	end joke			
tos1x16	personal log	Kirk, Kirk	0:00-1:45, 13:15-13:35	
tos1x17	damsel in distress			
tos1x17	visit a planet			
tos1x17	follow footprints			
tos1x17	footchase	Kirk@Finnegan		
tos1x17	torn shirt captain		38:40-48:22	
tos1x17	end joke			
tos1x17	ship-wide power drain			ship crisis
tos1x17	transporter power drain			transporter complication
tos1x17	captain's log		4:25-4:50, 18:10-18:25	
tos1x17	captain's log supplemental		30:42-30:55	
tos1x18	cat and mouse game	called by Spock!		
tos1x18	escape objective			
tos1x18	visit a planet			
tos1x18	abduction scenario			
tos1x18	search and rescue objective			
tos1x18	heroic goading			
tos1x18	noble self-sacrifice			
tos1x18	deus ex machina	Trelane's parents		
tos1x18	divert impulse power to sensors			technobabble solution
tos1x18	Kirkologue	where's the sport in a simple hanging		
tos1x18	end joke			
tos1x18	subspace interference			communication complication
tos1x18	captain in the courtroom			
tos1x18	captain's log		16:28-16:54, 30:10-30:37, 37:50-38:15	
tos1x18	captain at gunpoint		30:00	
tos1x18	Spock in the captain's chair	conducts search for Kirk after abduction by Squire		man in the captain's chair
tos1x19	visit an outpost			
tos1x19	space chase			
tos1x19	pushing ones limits	sustained warp 7/8		
tos1x19	fight to the death	Kirk vs. Gorn	23:45-	
tos1x19	ruse			
tos1x19	deflector screens up			transporter complication
tos1x19	creative solution	make gun powder		
tos1x19	visit a planet			
tos1x19	faked communication			
tos1x19	footchase			
tos1x19	ship-wide power drain			ship crisis
tos1x19	captain's log		3:00-3:15, 13:55-14:02	
tos1x19	captain's log supplemental		10:28-10:50	
tos1x19	Spock in the captain's chair	while Kirk fights Gorn		man in the captain's chair
tos1x20	planetary survey mission			
tos1x20	visit a planet			
tos1x20	plot twist	there are two Lazarus'		
tos1x20	sabotage			
tos1x20	interrogation	kirk@lazarus	23:20-24:30	
tos1x20	captain's log		4:15-4:35, 14:00-14:20, 22:50-23:08	
tos1x20	purloined dilithium crystal			ship crisis
tos1x21	lost in time scenario			
tos1x21	interrogation	MP at Kirk	33:24-35:48	
tos1x21	attempted escape			
tos1x21	impulse power only			mechanical complication
tos1x21	repair the ship objective			
tos1x21	recover the tapes mission	what do you call that?		
tos1x21	playing coy	Kirk at the interrogation		
tos1x21	countdown			
tos1x21	captain's log		2:20-2:45, 16:00-16:13, 28:11-28:20, 40:20-40:35	
tos1x21	turbolift chat	Kirk&Christopher	10:00-10:25	
tos1x21	captain's log supplemental		12:40-12:55	
tos1x21	captain at gunpoint	Col. Fellini, John	25:50-27:05, 39:30-40:07	
tos1x22	visit an alien home world			
tos1x22	culture infiltration			
tos1x22	underground movement			
tos1x22	self-destruct a computer with a logical contradiction			
tos1x22	foot chase			
tos1x22	search and rescue mission	for the Arcons		
tos1x22	race against time	ship atmospheric entry		
tos1x22	end joke			
tos1x22	captain's log		3:40-4:05, 25:00-25-18, 47:52-48:15	
tos1x22	captain at gunpoint	hollow tube in this case	14:00-15:20	
tos1x22	captain behind bars			
tos1x22	Scotty in the captain's chair	ship under heat beam attack		man in the captain's chair
tos1x23	diplomatic mission			
tos1x23	visit a planet			
tos1x23	faked message			
tos1x23	escape			
tos1x23	manhunt			
tos1x23	bluff or calculated risk	Kirk destroy the planet with a disruptor		
tos1x23	hostage situation scenario			
tos1x23	Kirkologue	Kirk gives the Eminians back the horros of war	45:35-47:00	
tos1x23	first contact mission			
tos1x23	struggle for command			
tos1x23	force a peace			
tos1x23	captain at gunpoint		13:15-13:30	
tos1x23	captain's log		0:00-0:27, 3:15-3:33, 13:35-13-55	
tos1x23	captain behind bars			
tos1x23	ship's log	Scotty	22:50-22:55	
tos1x23	abducted captain			
tos1x23	Scotty in the captain's chair	facing disruptor attack from planet		man in the captain's chair
tos1x24	race against time			
tos1x24	pseudo Maltuvis	world war, Eugenics war		
tos1x24	foreshadow	Eugenics wars, the painting of a Roman gladiator signified McGivers predilection for men of strength		
tos1x24	jammed communication channel			communication complication
tos1x24	turbolift off-line			escape complication
tos1x24	atmospheric control cut off			
tos1x24	ship encounter			
tos1x24	concealment of identity			
tos1x24	escape	Khan		
tos1x24	life support system shut down			ship crisis
tos1x24	ship takeover	Khan takes engineering and cuts off air to bridge		ship crisis
tos1x24	impending ship explosion			
tos1x24	captain's log		3:00-3:18, 9:42-10:07, 37:15-38:00	
tos1x24	interrogation	Kirk at Khan 2x	25:10-27:50, 31:45-33:45, 46:10-46:20	
tos1x24	captain in distress	Khan had Kirk placed in medical decompression chamber		
tos1x25	visit a planet			
tos1x25	find a cure			
tos1x25	evacuation mission			
tos1x25	short circuited communication			communication complication
tos1x25	initiate a mass brawl rigging up a subsonic transmitter			tech solution
tos1x25	explain the point of the story at the end			
tos1x25	solve a mystery			
tos1x25	visit a colony			
tos1x25	evacuation mission			
tos1x25	home alone	kirk on enterprise		
tos1x25	deus ex machina	Kirk about making everybody angry		
tos1x25	sabotaged communication			communication complication
tos1x25	captain's log		3:40-4:00, 25:30-26:00, 29:50-30:35	
tos1x25	captain's log supplemental		17:00-17:13, 34:20-34:40	
tos1x25	ship-wide mutiny			ship crisis
tos1x26	visit a planet			
tos1x26	jury rigged contraption			
tos1x26	circulating pump stolen from a PXK pergium reactor			act of sabotage
tos1x26	man left for dead	Schmitter		
tos1x26	manhunt			
tos1x26	race against time	10 hours until meltdown		
tos1x26	end joke			
tos1x26	defeat the monster			
tos1x26	visit an outpost	actually production station?		
tos1x26	captain's log		3:25-3:45	
tos1x27	visit a planet			
tos1x27	space fight	Enterprise&Klingon warbird, Enterprise&Klingon armada		
tos1x27	diplomatic mission			
tos1x27	foreshadow	the castle ruins were inconsistent with their expectation, the old man with psychic powers		
tos1x27	undercover operation			
tos1x27	jailbreak			
tos1x27	visit an alien home world			
tos1x27	captain behind bars		30:40-32:32	
tos1x27	captain's log		4:15-4:25, 12:40-12:55	
tos1x27	Kirkologue	Kirk tells the council elders the Federation will build schools and hospitals etc.		
tos1x27	captain incognito	Kirk dresses as Organian		
tos1x27	heated argument	Kirk&Kor	43:30-45:30	
tos1x27	Sulu in the captain's chair			man in the captain's chair
tos1x28	manhunt			
tos1x28	visit a planet			
tos1x28	mysterious artifact			
tos1x28	save a friend			
tos1x28	captain's log supplemental		3:45	
tos1x28	captain's log		11:56-12:20	
tos1x28	captain incognito	Kirk in 1930's clothing		
tos1x28	footchase	policeman@Kirk&Spock		
tos1x29	visit a colony			
tos1x29	nursery rhyme	man flying into sun is the key		
tos1x29	find a cure			
tos1x29	collect a specimen objective			
tos1x29	false dichotomy	Kirk wants a third alternative!		
tos1x29	end joke			
tos1x29	solve a mystery			
tos1x29	deus ex machina	Vulcan inner eyelid thing		
tos1x29	captain's log		5:00-5:17, 35:45-36:04	
tos1x29	captain's log supplemental		18:50-19:09	
tos2x01	warning message	Jackson		
tos2x01	search and rescue mission			
tos2x01	visit a planet			
tos2x01	communicator interference			communication complication
tos2x01	static interference			communication complication
tos2x01	change of heart	Korob about the captivity of the crew		
tos2x01	jail break			
tos2x01	shackled captain		13:40-17:00, 30:00-32:50, 40:20-40:45	
tos2x01	captain behind bars		13:40-17:00, 30:00-32:50, 40:20-40:45	
tos2x01	captain's log		3:10-3:35	
tos2x01	deSalle in the captain's chair			man in the captain's chair
tos2x01	ship-wide heating			ship crisis
tos2x01	captain at gunpoint	Kirk by Scotty in the dungeon and throne room etc.	16:15-23:50, 32:10-32:50	
tos2x01	impenetrable force field around ship			ship crisis
tos2x01	foot chase	Giant cat at Kirk and Spock		
tos2x02	transport a patient mission			
tos2x02	crash landing			
tos2x02	stranded			
tos2x02	marooned			
tos2x02	race against time			
tos2x02	ship takeover	shuttle		
tos2x02	Kirkologue		38:25-40:36	
tos2x02	ship's log		27:05-27:26, 37:10-37:22	
tos2x02	Scotty in the captain's chair	search for missing shuttlecraft		man in the captain's chair
tos2x03	visit a planet			
tos2x03	mission briefing			
tos2x03	wild goose chase	SS Dierdre		
tos2x03	escape			
tos2x03	negotiation mission	mining rights		
tos2x03	nefarious plot	the klingons had		
tos2x03	the nobel savage			
tos2x03	loveslap			
tos2x03	space trap			
tos2x03	cat and mouse game			
tos2x03	visit an alien home world			
tos2x03	confiscated communicator			communication complication
tos2x03	trigger a rockslide with a sonic disruption using communicator			tech solution
tos2x03	telltale giveaway	distress call included the name Enterprise		
tos2x03	calvary to the rescue	Scotty and redshirts at end		
tos2x03	end joke			
tos2x03	the bully turns out to be a coward			
tos2x03	Scotty in the captain's chair	Contends with Klingon birds of prey while Kirk negotiates mining treaty on Capella IV		
tos2x03	captain's log		3:40-4:00, 19:04-19:33, 22:24-22:46	
tos2x04	visit a planet	not sure this is appropriate here		
tos2x04	abduction			
tos2x04	phaser is fused			phaser complication
tos2x04	Maltuvis device	electric eel, ...		
tos2x04	plea for mercy	carolyn@apollo		
tos2x04	Maltuvis device in space	electric eel, giant dry worm of Antos IV, the fluffy...		
tos2x04	ship surrounded by communication blocking shield			communication complication
tos2x04	negate a force field with M-rays			technobabble solution
tos2x04	ship-wide crushing by giant green hand			ship crisis
tos2x04	captain's log		4:50-5:04	
tos2x04	Spock in the captain's chair	Spock contends with Apollo from orbit		man in the captain's chair
tos2x05	odd behavior	Spock		
tos2x05	fight to the death			
tos2x05	save a friend			
tos2x05	captain and spock			
tos2x05	torn shirt captain		39:11-43:03	
tos2x05	captain's log		5:27-5:45	
tos2x05	turbolift chat	Kirk/Spock, Kirk/Spock/McCoy	8:05-9:10, 21:42-22:30	
tos2x05	heart to heart talk	Kirk/Spock	12:10-17:32	
tos2x05	plot twist . end joke	T'Pring chooses Kirk		
tos2x06	subspace interference			communication complication
tos2x06	space fight	Enterprise, Constellation, doomsday weapon		
tos2x06	space chase	doomsday device@Enterprise		
tos2x06	jury rigging			
tos2x06	fighting a mortal adversary			
tos2x06	last second transport	Kirk	47:30	
tos2x06	save the universe			
tos2x06	garbled transmission			communication complication
tos2x06	heavy subspace interference			communication complication
tos2x06	communications damage			communication complication
tos2x06	transporter power drain			transporter complication
tos2x06	surreptitious hypospray	McCoy@Decker	8:03	
tos2x06	fragile shell of a man	Decker		
tos2x06	countdown			
tos2x06	captain's log		8:45-9:04	
tos2x06	Spock in the captain's chair	in charge until Decker assumes command		
tos2x07	visit a planet			
tos2x07	interrogation	Scotty and Morla on Enterprise	24:30-30:20	
tos2x07	visit an alien home world			
tos2x07	diplomatic complication	talk about closing the planet, the only space port		
tos2x07	Maltuvis device	Redjac, Beratis, Kesla, Jack the Ripper		
tos2x07	ship computer takeover			ship crisis
tos2x07	amnesia scenario	Scotty		scenario
tos2x07	frame up	Hengist@Scotty		
tos2x07	ghost in the computer			computer complication
tos2x07	calculate the digits of pi			computer trick
tos2x07	end joke			
tos2x07	foreshadow	Scotty had a subconscious resentment towards women		
tos2x07	captain's log		6:22-6:41, 23:56-24:05	
tos2x07	19th century			
tos2x07	compute pi to last digit			computer trick
tos2x07	Spock in the captain's chair	Spock in charge while Kirk contends with Scotty's interrogation on Argelius II		
tos2x08	space fight	Enterprise and Nomad		
tos2x08	defeat a robot with a contradiction	Nomad		
tos2x08	ultra warp speed			
tos2x08	save humanity			
tos2x08	overloaded and burned out computer console			computer complication
tos2x08	mistaken identity			
tos2x08	end joke			
tos2x08	ship-wide life support failure			ship crisis
tos2x08	captain's log		41:30-41:45	
tos2x09	visit a planet			
tos2x09	transporter power drain			transporter complication
tos2x09	race against time			
tos2x09	end joke			
tos2x09	impending ship crash			ship crisis
tos2x09	ship-wide power drain			ship crisis
tos2x09	loss of potency in anti-matter pods			mechanical complications
tos2x09	transporter inhibition	can't beam up a fly		transporter complication
tos2x09	landing party being followed			
tos2x09	diversion	Chekov and Spock arguing		
tos2x09	greeting custom			
tos2x09	captain's log		3:40-3:52, 21:40-21:55	
tos2x09	Scotty in the captain's chair	deals with mysterious ship-wide power drain		
tos2x09	captain's log supplemental		10:55-11:08	
tos2x09	heated argument	Spock/Chekov	17:08-17:20	
tos2x09	Kirkologue	on excellence of freedom and love	47:20-48:10	
tos2x10	ion storm interference			transporter complication
tos2x10	visit a planet			
tos2x10	Kirkologue	plea to evil-Spock to end tyranny in mirror universe		
tos2x10	end joke			
tos2x10	odd behavior			
tos2x10	power surge in the transporter circuits creating a momentary inter-dimensional contact with a parallel universe			transporter complication
tos2x10	failed sabotage	Scotty about the main phaser couplings		
tos2x10	disobey a direct order	Kirk@obliterate Halkan homeworld		
tos2x10	attempted assassination	evil Chekov@Kirk		
tos2x10	diversion	Uhuru@Sulu		
tos2x10	confinement to quarters	evil Chekov		
tos2x10	race against time	3 hours to escape		
tos2x10	man at phaser point	Spock@Kirk		
tos2x10	eavesdropping	Marlena@landing party		
tos2x10	captain's log		5:16-5:33, 14:36-14:45, 26:12-26:25	
tos2x10	captain at gunpoint		14:00-14:30, 37:05-38:21	
tos2x11	visit a colony			
tos2x11	find a cure			
tos2x11	resupply mission			
tos2x11	race against time			
tos2x11	corbomite device			
tos2x11	space confrontation	Enterprise and three Romulan Birds-of-Prey		
tos2x11	shirtless captain		9:06-9:40	
tos2x11	plot device where an anomaly at the beginning of the show is the key to solving the mystery	Chekov isn't getting old		
tos2x11	competency hearing  Chekov's gun	KirkCode 2 used by Kirk at end to trick Romulans		hearing
tos2x11	captain's log		4:00-4:17, 11:30-11:50	
tos2x11	captain in the courtroom	Kirk's competency hearing		
tos2x12	abduction			
tos2x12	defeat a computer with a logical paradox			
tos2x12	escape			
tos2x12	ship takeover			ship crisis
tos2x12	plot twist	uhura not betraying		
tos2x12	well deserved comuppins			
tos2x12	nefarious connection of matter anti-matter pods to the main computer banks			mechanical complication
tos2x12	jammed controls			mechanical complication
tos2x12	visit a planet			
tos2x12	viewer misdirection	we think Uhura has betrayed Kirk		
tos2x12	end joke			
tos2x12	captain's log		7:50-8:06	
tos2x13	visit a space station			
tos2x13	plot twist	Arne Darvin is a Klingon!		
tos2x13	liberate a space station			
tos2x13	dressing down like little school boys			
tos2x13	Kirkologue			
tos2x13	poison the food			nefarious plot
tos2x13	purposeful infestationing by tribble			heroic ruse
tos2x13	false alarm			
tos2x13	sabotage	quadrotriticali by Klingons		
tos2x13	foreshadow	tribble eats Chekov's grain		
tos2x13	ship wide tribble infestation			ship crisis
tos2x13	who threw the first punch scenario			
tos2x13	undercover Klingon agent			
tos2x13	confession	Darvin		
tos2x13	dressing down	Kirk at Scotty		
tos2x13	interrogation	Kirk at Cyrano Jones	41:40-43:00	
tos2x13	captain's log		3:10-3:25, 13:33-13:45, 26:17-26:34	
tos2x14	attempted jail break			
tos2x14	visit an alien homeworld			
tos2x14	Maltuvis device	six million died in the first world war, eleven million in the second, and 37 million in the third		
tos2x14	captain at gunpoint		7:10-10:45, 16:10-17:18, 21:33-22:30, 27:00-29:05, 30:40-37:12, 45:00-45:10	
tos2x14	plot twist	Jesus is the sun!		
tos2x14	foreshadow	McCoy points out the Romans never worshiped the sun		
tos2x14	viewer misdirection	screenshot of sun after McCoy's remark		
tos2x14	captain behind bars		18:15-21:20	
tos2x14	coincidental solution	Scotty blacks out the city at just the right moment		
tos2x14	Christian apologetic			
tos2x14	rescue mission			
tos2x14	condition green			communication trick
tos2x14	captain's log		10:54-11:30, 17:20-17:40, 47:20-47:43	
tos2x14	Scotty in the captain's chair	Scotty must decide how to help landing party trapped on Roman planet		
tos2x14	ship's log		29:10-29:30	log
tos2x14	Enterprise log		45:10-45:15	log
tos2x15	transport a dignitary			
tos2x15	nefarious plot			
tos2x15	space fight	Enterprise and Orion scout ship		
tos2x15	a spy in our midst			
tos2x15	dangerous surgery			
tos2x15	testing a new medicine			
tos2x15	plot twist	Sarek is Spock's father		
tos2x15	attempted assassination			
tos2x15	jammed intercoms			communication complication
tos2x15	space confrontation	Enterprise and Orion scout ship		
tos2x15	threat	Tellarite@Sarek		
tos2x15	shirtless captain		17:10-17:20, 19:40-19:55, 35:20-36:38	
tos2x15	lack of alibi	Sarek		
tos2x15	desperate plea for help	Amanda@Spock		
tos2x15	surgically altered man			
tos2x15	end joke			
tos2x15	heated argument	Sarek&Tellarite Gav	15:15-16:10	
tos2x15	captain's log		4:28-4:48, 8:20-8:50, 29:22-26:39	
tos2x16	planet survey mission			
tos2x16	nefarious plot			
tos2x16	foot chase			
tos2x16	visit a planet			
tos2x16	emergency beam up			
tos2x16	captain incognito			
tos2x16	violate a direct order			
tos2x16	love potion			
tos2x16	shirtless captain		19:00-22:00	
tos2x16	purloined phaser	Nona		
tos2x16	heat a rock with a phaser			phaser trick
tos2x16	captain's log		9:00-9:20	
tos2x16	Scotty in the captain's chair	contends with Klingons around planet Neural		
tos2x16	medical log		12:23-12:45	log
tos2x16	Spock in the captain's chair	takes over for Scotty to contend with Klingons around planet Neural		
tos2x17	abduction			
tos2x17	transporter complication		alleged	
tos2x17	follow the breadcrumbs	ionization trail		
tos2x17	Kirkologue	at the Providers		
tos2x17	dead communicator			communication complication
tos2x17	search and rescue mission			
tos2x17	shackled captain			
tos2x17	captain behind bars		6:00-7:15, 8:38-10:00, 10:55-12:45, 14:20-17:45, 34:30-36:30	
tos2x17	routine maintenance mission			
tos2x17	attempted escape			
tos2x17	visit a planetoid			
tos2x17	torn shirt captain		21:15-25:00	
tos2x17	shirtless captain		25:35-32:30, 34:30-36:38, 38:35-48:46	
tos2x17	jailbreak			
tos2x17	fight to the death	Kirk vs. trio of thralls		
tos2x17	ship takeover			
tos2x17	captain's log		0:00-0:15, 4:25-4:55, 12:50-13:11	
tos2x17	Spock in the captain's chair	Spock in charge of search for landing party		
tos2x17	captain's log supplemental		20:50-21:09	
tos2x18	rendezvous mission	USS Yorktown		
tos2x18	rendezvous deadline			
tos2x18	space chase	Enterprise and cloud		
tos2x18	space fight	Enterprise and cloud		
tos2x18	solve a problem with antimatter			
tos2x18	transport medical supplies			
tos2x18	risky revival for information			
tos2x18	ship wide environmental control problem			ship crisis
tos2x18	violation of a direct order	Kirk&Garrovick		
tos2x18	shockwave interruption			transporter complication
tos2x18	visit a planet			
tos2x18	confinement to quarters	Garrovick		
tos2x18	pushing the engines to the limit			
tos2x18	last second transport	Kirk&Garrovick	47:20	
tos2x18	captain's log		5:33-5:44, 14:18-14:50	
tos2x18	interrogation	Garrovick by Kirk, Spock, McCoy	14:50-17:00	
tos2x18	personal log		20:15-20:33	log
tos2x19	race against time	47 minutes to complete shield drain		
tos2x19	solve a problem with antimatter			
tos2x19	end joke			
tos2x19	divert and investigate mission			
tos2x19	slowly dying complication			
tos2x19	unintuitive solution	solution by doing the opposite of what seems sensible		
tos2x19	power loss			mechanical complication
tos2x19	heavy interference			communication complication
tos2x19	briefing			
tos2x19	ship-wide power drain			ship crisis
tos2x19	viewer misdirection	Kirk tells Spcok sorry... he has to go		
tos2x19	captain's log		0:05-0:25, 15:38-15:50, 36:54-37:10, 43:36-44:26	
tos2x19	captain's personal log		27:40-28:28	log
tos2x19	personal log		42:50-43:35	log
tos2x20	visit a planet			
tos2x20	ultimatum	8 hours to provide heaters or die		
tos2x20	abduction			
tos2x20	escape	fizzbin		
tos2x20	hostage situation scenario			
tos2x20	stuck in a power struggle			
tos2x20	warring factions			
tos2x20	captain at gunpoint			
tos2x20	drive by shooting			
tos2x20	foreshadow	it was mentioned the Iotians are imitative		
tos2x20	Spock eyebrow raise	@18:30 when he turns on the radio		
tos2x20	ingenious solution	Kirk plays by the gangsters rules to solve their problem		
tos2x20	end joke			
tos2x20	captain incognito			
tos2x20	turbolift chat	Kirk, Spock, McCoy	2:00-2:18	
tos2x20	Scotty in the captain's chair	Scotty deals with gangsters while landing party is held captive on planet		
tos2x20	ship's log		26:15-26:25	log
tos2x21	answer a distress call			
tos2x21	ship takeover			ship crisis
tos2x21	attack a central control objective			
tos2x21	playing sick	spock vulcan trance		
tos2x21	super-warp speed	warp 11		
tos2x21	ship self destruction recourse			
tos2x21	drinking contest	scotty@purple alien		
tos2x21	Kirkologue resolution	assisted by choke		
tos2x21	captain behind bars		10:00-11:40, 15:00-19:10	
tos2x21	captain at gunpoint	not precisely a gun but close enough		
tos2x21	dinner together	mccoy, spock, kirk, scotty		
tos2x21	attempted escape			
tos2x21	stop paralysis field by generating a counter field			technobabble solution
tos2x21	drink a man under the table	Scotty@Tomar		
tos2x21	confinement to quarters	Hanar		
tos2x21	McCoy bobbing up and down	at end		
tos2x21	captain's log		15:00-15:20, 25:28-25:45	
